#date,tavg,tmin,tmax,prcpi,,
2020,1,1,30.1,23.5,34.5,0
2020,1,2,29.3,22,37,0
2020,1,3,27.7,22,35,0
2020,1,4,27.5,21.5,33,0
2020,1,5,24.7,21,31.8,0
2020,1,6,25,NaN,NaN,0
2020,1,7,27.4,18.5,33,0
2020,1,8,26.3,18.5,33.5,0
2020,1,9,27.6,NaN,NaN,0
2020,1,10,28.8,19.8,36.6,0
2020,1,11,28.8,19,36,0
2020,1,12,28.9,19,37.8,0
2020,1,13,27,19,36,0
2020,1,14,31.2,NaN,NaN,0
2020,1,15,31.9,22,38.6,0
2020,1,16,30.5,22.5,39.2,0
2020,1,17,27.8,NaN,NaN,0
2020,1,18,29.7,NaN,NaN,0
2020,1,19,29.6,20,36,0
2020,1,20,27.6,21,32.2,0
2020,1,21,25.4,20,31.4,0
2020,1,22,26.3,NaN,NaN,0
2020,1,23,26.4,18,36.5,0
2020,1,24,28.1,18,35,0
2020,1,25,29.3,22,34.7,0
2020,1,26,25.3,17.8,35.4,0
2020,1,27,26.8,17.8,34.8,0
2020,1,28,28.1,18,35,0
2020,1,29,28.3,NaN,NaN,0
2020,1,30,29.9,NaN,NaN,0
2020,1,31,26.8,17.6,35.8,0
2020,2,1,28.7,NaN,NaN,0
2020,2,2,26.5,18.5,33,0
2020,2,3,27.6,NaN,NaN,0
2020,2,4,26.2,18,35.6,0
2020,2,5,26.6,17,36.4,0
2020,2,6,28.3,18.2,34.8,0
2020,2,7,28.6,19,35.5,0
2020,2,8,28.9,20,36.6,0
2020,2,9,30.7,20,37.2,0
2020,2,10,31.2,20,38,0
2020,2,11,28.8,19.8,36.6,0
2020,2,12,28.8,19,36.8,0
2020,2,13,27.9,19,36.6,0
2020,2,14,29.3,20,37.4,0
2020,2,15,28.3,21,37.2,0
2020,2,16,29.8,NaN,NaN,0
2020,2,17,30.6,23,40,0
2020,2,18,30.4,22,38,0
2020,2,19,30.9,22,38.2,0
2020,2,20,31.9,23,38.5,0
2020,2,21,29.8,23.5,38.4,0
2020,2,22,26.3,22,32.4,0
2020,2,23,28.6,NaN,NaN,0
2020,2,24,28.6,20,39,0
2020,2,25,27.9,19.8,37.8,0
2020,2,26,28.7,21,36.6,2
2020,2,27,24.8,NaN,NaN,0
2020,2,28,24.6,NaN,NaN,0
2020,2,29,25.8,17,30.9,0
2020,3,1,27.7,17,36.4,0
2020,3,2,27.1,18.5,38,0
2020,3,3,29.6,18,38,0
2020,3,4,29.2,17.8,36.4,0
2020,3,5,28.8,18.5,36.6,0
2020,3,6,26.5,18.5,36,0
2020,3,7,25.5,NaN,NaN,0
2020,3,8,26.7,NaN,NaN,0
2020,3,9,29.1,NaN,NaN,0
2020,3,10,29.4,19,36.8,0
2020,3,11,30.9,NaN,NaN,0
2020,3,12,30,20,38,0
2020,3,13,32.7,NaN,NaN,0
2020,3,14,31,19.5,37,NaN
2020,3,15,31.7,20,37.2,0
2020,3,16,32,21.6,38.4,0
2020,3,17,32.2,23,41,0
2020,3,18,30.7,23,39,0
2020,3,19,30.7,23,38,1
2020,3,20,29.8,22.5,37.6,0
2020,3,21,NaN,NaN,NaN,NaN
2020,3,22,NaN,NaN,NaN,NaN
2020,3,23,31.7,23,38.6,0
2020,3,24,31.1,23.8,37.8,0
2020,3,25,30.2,23,37.8,0
2020,3,26,30.3,23,37.5,0
2020,3,27,29.7,22.8,38.6,0
2020,3,28,NaN,NaN,NaN,NaN
2020,3,29,31.3,24,38.4,0
2020,3,30,31.5,22.5,38.4,0
2020,3,31,30.6,22,37.6,0.8
2020,4,1,32.9,NaN,NaN,0
2020,4,2,31.2,23,40,0
2020,4,3,30.9,22.8,37.4,0
2020,4,4,30.6,22,37.9,0
2020,4,5,30.4,22,38.5,0
2020,4,6,31.9,22,38.2,0
2020,4,7,31.4,23,38.4,0
2020,4,8,31.2,23,38.4,0
2020,4,9,NaN,NaN,NaN,NaN
2020,4,10,NaN,NaN,NaN,NaN
2020,4,11,31.8,20,40,0
2020,4,12,30.7,20,38.8,0
2020,4,13,33,NaN,NaN,0
2020,4,14,30.4,22,37.6,0
2020,4,15,31.6,22,38.5,0
2020,4,16,32.6,22,39,0
2020,4,17,30.7,21.5,37.4,7.1
2020,4,18,30.8,21,37,5.1
2020,4,19,28.6,21,35.4,0
2020,4,20,28.2,20.8,35.2,3.6
2020,4,21,31.2,20.8,37.5,0
2020,4,22,30.4,23,37,0
2020,4,23,31.9,23,36.6,0
2020,4,24,31.3,22,37,0
2020,4,25,31.2,21.6,37.6,0
2020,4,26,31.6,21.2,37.8,0
2020,4,27,32.6,NaN,NaN,0
2020,4,28,32.6,23.5,39.6,0
2020,4,29,31.3,23,37.8,0
2020,4,30,31.5,23,38.5,0
2020,5,1,31.5,23,37.8,0
2020,5,2,32.8,24,38.5,0
2020,5,3,32.1,24.6,38.4,0
2020,5,4,31.6,24,37.5,0
2020,5,5,30.5,22.6,38,10.9
2020,5,6,32.1,22.5,38,NaN
2020,5,7,31.7,NaN,NaN,14
2020,5,8,33.2,24,39.4,0
2020,5,9,31.3,23,40.2,0
2020,5,10,31.9,22.5,38.2,3
2020,5,11,32.1,22,38,2.5
2020,5,12,32.7,23.8,38,0
2020,5,13,33.9,24,38.2,0
2020,5,14,30.7,22,38.2,2
2020,5,15,31.1,22,38.5,0
2020,5,16,30.3,21.8,36.8,3.8
2020,5,17,30.9,22,36.7,NaN
2020,5,18,31,21,37.4,6.1
2020,5,19,32.4,21,38.2,0
2020,5,20,30.7,22.8,38.2,0
2020,5,21,30.8,22.4,36.8,0.8
2020,5,22,29.9,22.4,37,0
2020,5,23,29.6,21,36.6,0
2020,5,24,28.7,21,36.3,0
2020,5,25,30,21,35.3,0
2020,5,26,30.6,NaN,NaN,0
2020,5,27,30.3,21,37.2,0
2020,5,28,28.2,22,37,7.1
2020,5,29,27.2,18.3,35.8,39.9
2020,5,30,28.4,17.6,34.2,2.3
2020,5,31,29.9,22.8,34,0
2020,6,1,28.4,22.5,35,1
2020,6,2,27.3,20,30.9,0
2020,6,3,25.9,19.5,32,96.8
2020,6,4,25.1,18.6,28.8,112.3
2020,6,5,25.9,NaN,NaN,22.1
2020,6,6,27.1,NaN,NaN,34.3
2020,6,7,27.1,22.5,34.5,34.3
2020,6,8,29.3,22,33.5,43.4
2020,6,9,29.1,21.4,33.8,0.8
2020,6,10,29.7,20.5,35.2,0
2020,6,11,31.7,NaN,NaN,0
2020,6,12,31.9,22.4,36.6,0
2020,6,13,30.9,23.6,36.4,0
2020,6,14,30.7,24,35,0
2020,6,15,29.9,23.6,36.6,0
2020,6,16,30.9,NaN,NaN,0
2020,6,17,31.3,23.8,36.8,0
2020,6,18,29.7,23,33.8,0
2020,6,19,28.6,20,33.2,4.8
2020,6,20,30.7,20,37.2,0
2020,6,21,31.1,21.8,37.6,0
2020,6,22,29.2,21.5,36.2,2
2020,6,23,28.3,21,37.5,18
2020,6,24,29.1,NaN,NaN,0
2020,6,25,29.2,19.6,37.4,9.9
2020,6,26,29.4,20,36,89.9
2020,6,27,29.8,20,37,0
2020,6,28,29.6,22,37.2,7.1
2020,6,29,29,19.8,35.8,6.1
2020,6,30,29.5,19.5,35.8,5.1
2020,7,1,28.3,18.8,35.8,3.3
2020,7,2,29.3,20,36.2,0
2020,7,3,27.3,19.5,36.5,8.9
2020,7,4,29.4,19.6,35.4,23.1
2020,7,5,29.7,21.2,37.2,15
2020,7,6,29.8,20.8,37.2,14
2020,7,7,28.7,20.3,34.5,1
2020,7,8,29.4,20.3,35.6,0
2020,7,9,30.4,22,36.8,0
2020,7,10,27.9,20,39.4,3.8
2020,7,11,27.2,19.5,34,6.9
2020,7,12,28.9,NaN,NaN,9.4
2020,7,13,30.5,19,37.2,0
2020,7,14,29.6,21.8,37,44.7
2020,7,15,29.8,21,37.5,4.3
2020,7,16,30.4,20,37.2,1
2020,7,17,30.7,20,37.8,NaN
2020,7,18,31.9,21,36.4,0
