#date,tavg,tmin,tmax,prcp,,
2020,1,1,20.4,10.6,25.6,0
2020,1,2,19.1,13.5,27,0
2020,1,3,20.6,13.5,27,0
2020,1,4,17.8,15.1,27.8,0
2020,1,5,13.2,10.6,21.7,0
2020,1,6,15.2,NaN,NaN,0
2020,1,7,14,11.4,23.8,0
2020,1,8,NaN,NaN,NaN,NaN
2020,1,9,17.7,11.6,21,0
2020,1,10,21.1,NaN,NaN,0
2020,1,11,22.5,12,26,0
2020,1,12,18.9,12,26.8,0
2020,1,13,NaN,NaN,NaN,NaN
2020,1,14,18.6,14,22.2,1.5
2020,1,15,NaN,NaN,NaN,NaN
2020,1,16,NaN,NaN,NaN,NaN
2020,1,17,17.3,12.3,20.2,1
2020,1,18,17.4,NaN,NaN,0
2020,1,19,18.9,12.7,22,2
2020,1,20,NaN,NaN,NaN,NaN
2020,1,21,16.2,12.6,23.1,0
2020,1,22,17.5,NaN,NaN,0
2020,1,23,22.2,NaN,NaN,0
2020,1,24,22.2,NaN,NaN,0
2020,1,25,19,NaN,NaN,NaN
2020,1,26,22.5,NaN,NaN,NaN
2020,1,27,23.6,NaN,NaN,0
2020,1,28,23.9,NaN,NaN,0
2020,1,29,NaN,NaN,NaN,NaN
2020,1,30,19.8,11.5,28.4,0
2020,1,31,20.4,NaN,NaN,0
2020,2,1,19.5,14.2,30,0
2020,2,2,16.5,12.4,23.2,0
2020,2,3,17,9.4,28,0
2020,2,4,18.2,9.4,29.9,0
2020,2,5,20.7,12.1,30,0
2020,2,6,23.7,13,29.9,0
2020,2,7,19.3,13.3,30,0
2020,2,8,19.3,15.1,25.1,0
2020,2,9,17.9,13.8,26,0
2020,2,10,17.1,9.6,25.1,0
2020,2,11,19.4,9.7,29,0
2020,2,12,20,13,30.5,0
2020,2,13,19.2,14.1,30.9,0
2020,2,14,18.1,14.1,27.8,0
2020,2,15,16.7,13.4,23,0
2020,2,16,16.1,11.8,23,0.5
2020,2,17,16.9,11.7,25,0
2020,2,18,18.1,11.7,24.9,0
2020,2,19,19.3,13.3,26.6,0
2020,2,20,19.4,13.7,27.1,0
2020,2,21,18.3,14.6,28,0
2020,2,22,16.2,14,24.3,0.5
2020,2,23,17.4,NaN,NaN,7.4
2020,2,24,19.2,NaN,NaN,0
2020,2,25,21.3,10,31.6,0
2020,2,26,20.7,13.8,30,0
2020,2,27,16.6,NaN,NaN,0
2020,2,28,14.3,11.8,20.8,0
2020,2,29,14.4,10.7,20.2,0
2020,3,1,16.6,10.6,28.4,0
2020,3,2,18.7,10.6,31,0
2020,3,3,21.1,10.6,33.8,0
2020,3,4,22.3,12.4,32.2,0
2020,3,5,21.6,13,30.4,0
2020,3,6,17.4,13,28.6,0
2020,3,7,15.9,NaN,NaN,0
2020,3,8,16.5,12.2,22.2,0
2020,3,9,16.9,12.4,24.8,0
2020,3,10,16.6,12.4,23.5,0
2020,3,11,18.7,12.8,25.5,0
2020,3,12,18.4,12.8,26.9,0
2020,3,13,20.6,12,30.8,0
2020,3,14,22.3,12,31.6,0
2020,3,15,20.5,12.4,31.1,0
2020,3,16,18.4,12.4,27.8,0
2020,3,17,18.9,13.5,27,0
2020,3,18,19.5,13.6,27.9,0
2020,3,19,19.8,13,29.2,0
2020,3,20,20.6,12.9,31.2,0
2020,3,21,NaN,NaN,NaN,NaN
2020,3,22,NaN,NaN,NaN,NaN
2020,3,23,19.1,12.5,27.8,0
2020,3,24,20.1,NaN,NaN,0
2020,3,25,21.6,11.6,32.9,0
2020,3,26,21.3,12.6,32,0
2020,3,27,20.8,12.5,32,0
2020,3,28,23.2,12.5,34,0
2020,3,29,22.3,15.3,32,0
2020,3,30,21.4,13.6,32.5,0
2020,3,31,26,13.6,29.9,0
2020,4,1,19.4,15.8,25.9,NaN
2020,4,2,18.9,14.5,29,22.1
2020,4,3,20.4,14,30.8,5.6
2020,4,4,22.3,13.7,33,0
2020,4,5,21.4,15,33.5,1.5
2020,4,6,20.8,15.3,32.8,0
2020,4,7,22.2,15.2,31.2,0
2020,4,8,21.6,13.6,31.5,0
2020,4,9,NaN,NaN,NaN,NaN
2020,4,10,NaN,NaN,NaN,NaN
2020,4,11,25.8,NaN,NaN,NaN
2020,4,12,23.8,15.5,32.3,0
2020,4,13,25.3,NaN,NaN,0
2020,4,14,25.3,16.9,33,0
2020,4,15,22.7,17.1,32.2,0
2020,4,16,22.1,17,30,0
2020,4,17,22.3,14.8,29.2,0.3
2020,4,18,21.8,14,30.5,0
2020,4,19,22.6,14,31.9,0
2020,4,20,22.8,14.9,31.1,0
2020,4,21,22.9,16.4,31.1,5.6
2020,4,22,23.2,16.7,32.3,0
2020,4,23,23.5,16.8,33.2,0
2020,4,24,24.8,17.5,32.4,0
2020,4,25,24.2,17.5,34,0
2020,4,26,21,NaN,NaN,0
2020,4,27,19.9,14.5,28.9,1.5
2020,4,28,20.1,14.5,29.3,0
2020,4,29,21.5,14.8,30.3,0
2020,4,30,22.6,15.9,31.3,0.3
2020,5,1,20,15,29,0
2020,5,2,20.3,15,26.9,0
2020,5,3,21.4,15.7,30,0
2020,5,4,21.3,15,31.8,0
2020,5,5,21.5,15,32.1,0
2020,5,6,21.7,15.2,26.6,NaN
2020,5,7,20.3,15.2,26.9,0
2020,5,8,21.2,15.8,27.9,0
2020,5,9,23.1,16.5,28.9,NaN
2020,5,10,21.1,16.5,29.9,NaN
2020,5,11,20.9,15.4,29.4,23.4
2020,5,12,20.7,15.4,28.3,0
2020,5,13,20.8,16.3,29,0
2020,5,14,21.4,16.5,30.9,20.6
2020,5,15,21.2,16.2,30.2,20.8
2020,5,16,23,16.2,31.1,0
2020,5,17,20.3,16.5,29.9,0
2020,5,18,24.9,17,29.5,NaN
2020,5,19,20.9,16.3,30.8,1
2020,5,20,21.7,16.3,29.9,0
2020,5,21,21.4,15.7,31,0
2020,5,22,24.6,15.8,29.1,NaN
2020,5,23,21.3,11.6,29.6,0
2020,5,24,23.2,NaN,NaN,0
2020,5,25,23.1,16.5,31.9,0
2020,5,26,24.1,16.6,32.1,0
2020,5,27,22.3,16.5,32.6,0
2020,5,28,21.6,16.5,30.9,0
2020,5,29,19.3,14.6,29,20.1
2020,5,30,18.6,14.6,25.5,NaN
2020,5,31,18.2,NaN,NaN,11.9
2020,6,1,18.9,NaN,NaN,NaN
2020,6,2,18.5,16.4,25,NaN
2020,6,3,17.2,NaN,NaN,24.6
2020,6,4,17.7,NaN,NaN,68.1
2020,6,5,19.2,NaN,NaN,NaN
2020,6,6,19.4,15.6,26,NaN
2020,6,7,21.4,15.6,28.5,0
2020,6,8,22.1,15.8,29.5,0
2020,6,9,22.3,16.1,29.3,0
2020,6,10,21.9,17.5,30.4,0
2020,6,11,20.1,15.5,30.4,13
2020,6,12,20,15.4,27,0.3
2020,6,13,19.7,14.6,27,0
2020,6,14,18.6,15.3,27,9.4
2020,6,15,19.2,15.3,24.8,1.5
2020,6,16,20.3,15.3,26,0
2020,6,17,19.8,NaN,NaN,NaN
2020,6,18,19.1,16.4,26,15.5
2020,6,19,20.1,15.9,24.9,0
2020,6,20,20.1,16.4,25.7,NaN
2020,6,21,20.3,16.1,26.7,0
2020,6,22,20.9,16.1,26.4,0
2020,6,23,19.7,16.6,28.5,0
2020,6,24,20.2,16.1,27,2.8
2020,6,25,20.2,15.2,28.3,2
2020,6,26,19.6,15.2,25.8,0
2020,6,27,19.6,14.8,26.3,0
2020,6,28,19.4,14.3,28,0
2020,6,29,19.7,14.3,28.8,0
2020,6,30,20.9,16.1,29.5,0
2020,7,1,19.2,NaN,NaN,1
2020,7,2,20.4,14.6,27.5,0
2020,7,3,19.6,15.8,25.6,0
2020,7,4,19.7,16.3,25.1,0
2020,7,5,20.3,15.5,25.7,0
2020,7,6,20.7,15.5,27.6,0.8
2020,7,7,20.3,16.9,27.8,0
2020,7,8,20.3,16.9,26.2,0
2020,7,9,21.3,16.8,27.9,0
2020,7,10,19.2,16.1,28.5,0
2020,7,11,19.6,NaN,NaN,NaN
2020,7,12,20.3,15.3,33.8,0
2020,7,13,21.2,15,26.2,0
2020,7,14,20,15,26.2,0.3
2020,7,15,19.8,16,26.2,4.1
2020,7,16,18.7,NaN,NaN,NaN
2020,7,17,19.9,NaN,NaN,0
2020,7,18,19.6,NaN,NaN,0
2020,7,19,21.9,14.8,27.2,0
2020,7,20,19.6,15.6,27,0
2020,7,21,20.4,16.4,26.9,7.4
2020,7,22,19.7,NaN,NaN,0
2020,7,23,20.1,16.4,27.8,0.8
2020,7,24,21.3,16.2,26.7,0
2020,7,25,20.8,15.2,28,0
2020,7,26,21.7,14.2,28.8,9.7
2020,7,27,20.4,14.2,29.9,6.1
2020,7,28,20.2,15.7,31.7,2.5
2020,7,29,20.4,15.7,27.3,0.3
2020,7,30,20.3,16.6,25,1
2020,7,31,22.2,NaN,NaN,0
2020,8,1,20.3,15.7,26.4,0
2020,8,2,21.9,15.7,29.1,0
2020,8,3,21.9,17,29.2,0.5
2020,8,4,22.6,16.7,29.5,0
2020,8,5,21.3,16.9,29,0.5
2020,8,6,20.9,15.7,29.6,0.3
